AVG: 1250.1866666666667 1.0  MAX: 1257.98 1.0  MIN: 1242.5 1.0 
AVG: 1249.3999999999999 1.0  MAX: 1257.56 1.0  MIN: 1240.56 1.0 
AVG: 1249.2933333333333 1.0  MAX: 1257.24 1.0  MIN: 1240.56 1.0 
AVG: 1247.8933333333334 1.0  MAX: 1257.24 1.0  MIN: 1240.0 1.0 
AVG: 1247.1866666666667 1.0  MAX: 1257.18 1.0  MIN: 1238.32 1.0 
AVG: 1246.9466666666665 1.0  MAX: 1257.02 1.0  MIN: 1238.24 1.0 
AVG: 1245.7266666666667 1.0  MAX: 1254.64 1.0  MIN: 1238.24 1.0 
AVG: 1244.5133333333333 1.0  MAX: 1251.6 1.0  MIN: 1238.24 1.0 
AVG: 1243.5666666666668 1.0  MAX: 1251.6 1.0  MIN: 1236.88 1.0 
AVG: 1242.5200000000002 1.0  MAX: 1249.84 1.0  MIN: 1236.88 1.0 
AVG: 1241.9933333333336 1.0  MAX: 1248.26 1.0  MIN: 1236.88 1.0 
AVG: 1240.9733333333334 1.0  MAX: 1248.26 1.0  MIN: 1236.88 1.0 
AVG: 1240.8999999999999 1.0  MAX: 1248.26 1.0  MIN: 1236.66 1.0 
AVG: 1239.96 1.0  MAX: 1247.64 1.0  MIN: 1234.46 1.0 
AVG: 1239.96 1.0  MAX: 1247.64 1.0  MIN: 1234.46 1.0 
AVG: 1239.42 1.0  MAX: 1247.64 1.0  MIN: 1234.46 1.0 
AVG: 1238.8999999999999 1.0  MAX: 1247.64 1.0  MIN: 1234.46 1.0 
AVG: 1238.8999999999999 1.0  MAX: 1247.64 1.0  MIN: 1234.46 1.0 
AVG: 1238.7133333333334 1.0  MAX: 1247.4 1.0  MIN: 1234.14 1.0 
AVG: 1238.6933333333334 1.0  MAX: 1247.34 1.0  MIN: 1234.14 1.0 
AVG: 1238.3733333333332 1.0  MAX: 1247.26 1.0  MIN: 1233.46 1.0 
AVG: 1237.9733333333334 1.0  MAX: 1246.24 1.0  MIN: 1233.28 1.0 
AVG: 1237.36 1.0  MAX: 1245.04 1.0  MIN: 1232.64 1.0 
AVG: 1236.5333333333335 1.0  MAX: 1245.04 1.0  MIN: 1230.16 1.0 
AVG: 1236.5333333333335 1.0  MAX: 1245.04 1.0  MIN: 1230.16 1.0 
AVG: 1235.88 1.0  MAX: 1245.04 1.0  MIN: 1230.16 1.0 
AVG: 1235.88 1.0  MAX: 1245.04 1.0  MIN: 1230.16 1.0 
AVG: 1235.88 1.0  MAX: 1245.04 1.0  MIN: 1230.16 1.0 
AVG: 1235.68 1.0  MAX: 1245.04 1.0  MIN: 1230.16 1.0 
AVG: 1235.64 1.0  MAX: 1245.04 1.0  MIN: 1230.16 1.0 
AVG: 1235.2 1.0  MAX: 1245.04 1.0  MIN: 1230.1 1.0 
