AVG: 568.0866666666667 5.0  MAX: 606.02 11.0  MIN: 538.7 1.0 
AVG: 490.9066666666667 1.0  MAX: 508.52 1.0  MIN: 471.46 1.0 
AVG: 463.5933333333333 1.0  MAX: 483.28 1.0  MIN: 450.8 1.0 
AVG: 443.7 1.0  MAX: 454.74 1.0  MIN: 438.1 1.0 
AVG: 435.1066666666666 1.0  MAX: 441.8 1.0  MIN: 431.02 1.0 
AVG: 429.6133333333333 1.0  MAX: 434.04 1.0  MIN: 427.28 1.0 
AVG: 423.44666666666666 1.0  MAX: 424.96 1.0  MIN: 422.3 1.0 
AVG: 420.1666666666667 1.0  MAX: 421.42 1.0  MIN: 418.44 1.0 
AVG: 418.28000000000003 1.0  MAX: 419.72 1.0  MIN: 416.6 1.0 
AVG: 415.1666666666667 1.0  MAX: 416.22 1.0  MIN: 414.54 1.0 
AVG: 412.58 1.0  MAX: 414.8 1.0  MIN: 410.9 1.0 
AVG: 410.48 1.0  MAX: 413.8 1.0  MIN: 407.34 1.0 
AVG: 409.4066666666667 1.0  MAX: 412.94 1.0  MIN: 406.46 1.0 
AVG: 408.67333333333335 1.0  MAX: 411.56 1.0  MIN: 406.3 1.0 
AVG: 407.15333333333336 1.0  MAX: 410.26 1.0  MIN: 403.94 1.0 
AVG: 406.1066666666666 1.0  MAX: 408.62 1.0  MIN: 403.3 1.0 
AVG: 404.68 1.0  MAX: 406.96 1.0  MIN: 401.0 1.0 
AVG: 403.70666666666665 1.0  MAX: 406.0 1.0  MIN: 401.0 1.0 
AVG: 402.7733333333333 1.0  MAX: 404.38 1.0  MIN: 400.84 1.0 
AVG: 402.0733333333333 1.0  MAX: 403.7 1.0  MIN: 399.78 1.0 
AVG: 400.52666666666664 1.0  MAX: 403.06 1.0  MIN: 398.7 1.0 
AVG: 399.6933333333333 1.0  MAX: 402.66 1.0  MIN: 397.28 1.0 
AVG: 399.06666666666666 1.0  MAX: 401.8 1.0  MIN: 397.28 1.0 
AVG: 398.2133333333333 1.0  MAX: 400.96 1.0  MIN: 396.66 1.0 
AVG: 397.0533333333333 1.0  MAX: 400.2 1.0  MIN: 394.12 1.0 
AVG: 395.8 1.0  MAX: 398.2 1.0  MIN: 393.56 1.0 
AVG: 395.0733333333333 1.0  MAX: 396.84 1.0  MIN: 393.34 1.0 
AVG: 394.54 1.0  MAX: 396.36 1.0  MIN: 392.72 1.0 
AVG: 393.8666666666666 1.0  MAX: 395.7 1.0  MIN: 391.7 1.0 
AVG: 393.0933333333333 1.0  MAX: 395.18 1.0  MIN: 391.54 1.0 
AVG: 393.02666666666664 1.0  MAX: 395.08 1.0  MIN: 391.44 1.0 
AVG: 392.44000000000005 1.0  MAX: 394.74 1.0  MIN: 390.7 1.0 
AVG: 392.36666666666673 1.0  MAX: 394.74 1.0  MIN: 390.68 1.0 
AVG: 392.03999999999996 1.0  MAX: 394.56 1.0  MIN: 390.34 1.0 
AVG: 391.7733333333333 1.0  MAX: 394.5 1.0  MIN: 389.76 1.0 
AVG: 391.0466666666666 1.0  MAX: 393.54 1.0  MIN: 388.74 1.0 
AVG: 390.50666666666666 1.0  MAX: 393.22 1.0  MIN: 387.98 1.0 
AVG: 390.49333333333334 1.0  MAX: 393.22 1.0  MIN: 387.94 1.0 
AVG: 389.91333333333336 1.0  MAX: 392.66 1.0  MIN: 387.8 1.0 
AVG: 389.72666666666663 1.0  MAX: 392.66 1.0  MIN: 387.64 1.0 
AVG: 389.66 1.0  MAX: 392.56 1.0  MIN: 387.64 1.0 
AVG: 389.1933333333333 1.0  MAX: 392.0 1.0  MIN: 387.46 1.0 
