 733.7777777777778 56.555555555555564   773.0 67.66666666666667   680.0 45.44444444444445 
 739.0 56.555555555555564   745.3333333333334 67.66666666666667   730.0 45.44444444444445 
 705.111111111111 45.44444444444445   716.6666666666666 67.66666666666667   692.6666666666666 34.333333333333336 
 669.8888888888889 45.44444444444445   721.3333333333334 67.66666666666667   619.3333333333334 34.333333333333336 
 647.4444444444445 34.333333333333336   678.3333333333334 67.66666666666667   619.3333333333334 34.333333333333336 
 642.4444444444445 34.333333333333336   678.3333333333334 67.66666666666667   619.3333333333334 34.333333333333336 
 636.3333333333334 34.333333333333336   660.0 34.333333333333336   619.3333333333334 34.333333333333336 
 630.6666666666666 34.333333333333336   660.0 34.333333333333336   602.3333333333334 34.333333333333336 
 616.4444444444445 34.333333333333336   660.0 34.333333333333336   571.3333333333334 34.333333333333336 
 608.3333333333334 34.333333333333336   635.6666666666666 34.333333333333336   571.3333333333334 34.333333333333336 
