AVG: 9730.08 5.666666666666667  MAX: 10062.82 9.0  MIN: 9483.98 3.0 
AVG: 8135.639999999999 1.0  MAX: 8193.82 1.0  MIN: 8101.74 1.0 
AVG: 7482.026666666668 1.0  MAX: 7550.32 1.0  MIN: 7413.88 1.0 
AVG: 7192.4800000000005 1.0  MAX: 7327.54 1.0  MIN: 7086.68 1.0 
AVG: 7014.099999999999 1.0  MAX: 7109.68 1.0  MIN: 6906.0 1.0 
AVG: 6871.593333333333 1.0  MAX: 6957.98 1.0  MIN: 6731.2 1.0 
AVG: 6755.62 1.0  MAX: 6826.04 1.0  MIN: 6678.48 1.0 
AVG: 6676.126666666667 1.0  MAX: 6771.56 1.0  MIN: 6613.24 1.0 
AVG: 6613.173333333333 1.0  MAX: 6699.7 1.0  MIN: 6517.62 1.0 
AVG: 6562.613333333334 1.0  MAX: 6648.48 1.0  MIN: 6450.44 1.0 
AVG: 6529.173333333333 1.0  MAX: 6625.7 1.0  MIN: 6415.28 1.0 
AVG: 6501.7733333333335 1.0  MAX: 6570.92 1.0  MIN: 6398.0 1.0 
AVG: 6458.56 1.0  MAX: 6516.88 1.0  MIN: 6381.42 1.0 
AVG: 6411.886666666666 1.0  MAX: 6484.7 1.0  MIN: 6312.46 1.0 
AVG: 6369.78 1.0  MAX: 6446.12 1.0  MIN: 6286.14 1.0 
AVG: 6350.766666666666 1.0  MAX: 6426.96 1.0  MIN: 6266.18 1.0 
AVG: 6332.233333333334 1.0  MAX: 6412.12 1.0  MIN: 6260.58 1.0 
AVG: 6302.9800000000005 1.0  MAX: 6369.1 1.0  MIN: 6245.32 1.0 
AVG: 6295.886666666666 1.0  MAX: 6353.8 1.0  MIN: 6244.92 1.0 
AVG: 6266.639999999999 1.0  MAX: 6324.76 1.0  MIN: 6215.66 1.0 
AVG: 6249.386666666666 1.0  MAX: 6300.86 1.0  MIN: 6204.22 1.0 
AVG: 6236.84 1.0  MAX: 6275.58 1.0  MIN: 6197.3 1.0 
AVG: 6230.086666666667 1.0  MAX: 6270.18 1.0  MIN: 6185.28 1.0 
AVG: 6207.173333333333 1.0  MAX: 6245.62 1.0  MIN: 6153.4 1.0 
AVG: 6187.400000000001 1.0  MAX: 6221.62 1.0  MIN: 6129.04 1.0 
AVG: 6172.086666666667 1.0  MAX: 6193.8 1.0  MIN: 6129.04 1.0 
AVG: 6160.96 1.0  MAX: 6188.86 1.0  MIN: 6110.82 1.0 
AVG: 6152.4800000000005 1.0  MAX: 6183.2 1.0  MIN: 6110.82 1.0 
AVG: 6140.94 1.0  MAX: 6178.76 1.0  MIN: 6098.22 1.0 
AVG: 6136.113333333334 1.0  MAX: 6175.0 1.0  MIN: 6087.5 1.0 
AVG: 6122.746666666666 1.0  MAX: 6175.0 1.0  MIN: 6073.9 1.0 
