AVG: 457.08666666666676 11.0  MAX: 479.42 17.0  MIN: 432.36 7.0 
AVG: 402.4266666666667 2.3333333333333335  MAX: 407.06 3.0  MIN: 396.72 1.0 
AVG: 383.27333333333337 1.0  MAX: 388.46 1.0  MIN: 377.62 1.0 
AVG: 374.18666666666667 1.0  MAX: 377.6 1.0  MIN: 368.94 1.0 
AVG: 366.32 1.0  MAX: 370.32 1.0  MIN: 358.68 1.0 
AVG: 361.46666666666664 1.0  MAX: 364.12 1.0  MIN: 356.32 1.0 
AVG: 357.40000000000003 1.0  MAX: 360.66 1.0  MIN: 351.34 1.0 
AVG: 354.81333333333333 1.0  MAX: 358.3 1.0  MIN: 348.2 1.0 
AVG: 352.97333333333336 1.0  MAX: 356.16 1.0  MIN: 347.22 1.0 
AVG: 350.56666666666666 1.0  MAX: 353.12 1.0  MIN: 346.92 1.0 
AVG: 348.4066666666667 1.0  MAX: 350.66 1.0  MIN: 345.62 1.0 
AVG: 346.44 1.0  MAX: 348.22 1.0  MIN: 343.96 1.0 
AVG: 344.8666666666666 1.0  MAX: 347.14 1.0  MIN: 341.9 1.0 
AVG: 343.8066666666667 1.0  MAX: 346.32 1.0  MIN: 340.94 1.0 
AVG: 342.8933333333334 1.0  MAX: 346.18 1.0  MIN: 339.76 1.0 
AVG: 341.93333333333334 1.0  MAX: 345.36 1.0  MIN: 338.46 1.0 
AVG: 340.84 1.0  MAX: 343.42 1.0  MIN: 338.16 1.0 
AVG: 339.1466666666667 1.0  MAX: 340.78 1.0  MIN: 337.3 1.0 
AVG: 338.47333333333336 1.0  MAX: 340.38 1.0  MIN: 336.04 1.0 
AVG: 337.54 1.0  MAX: 339.76 1.0  MIN: 335.68 1.0 
AVG: 336.6 1.0  MAX: 338.86 1.0  MIN: 334.6 1.0 
AVG: 336.05333333333334 1.0  MAX: 338.74 1.0  MIN: 334.04 1.0 
AVG: 334.91333333333336 1.0  MAX: 337.4 1.0  MIN: 332.28 1.0 
AVG: 334.2133333333333 1.0  MAX: 337.36 1.0  MIN: 331.64 1.0 
AVG: 333.1133333333333 1.0  MAX: 335.82 1.0  MIN: 331.26 1.0 
