AVG: 407.9444444444444 31.555555555555557  MAX: 418.0833333333333 51.0  MIN: 394.9166666666667 17.666666666666668 
AVG: 372.5 23.222222222222225  MAX: 379.5 26.0  MIN: 369.0 17.666666666666668 
AVG: 349.5833333333333 6.555555555555556  MAX: 353.5833333333333 9.333333333333334  MIN: 342.1666666666667 1.0 
AVG: 338.4166666666667 1.0  MAX: 343.5 1.0  MIN: 332.5833333333333 1.0 
AVG: 334.5555555555556 1.0  MAX: 339.1666666666667 1.0  MIN: 332.0833333333333 1.0 
AVG: 328.6111111111111 1.0  MAX: 333.0 1.0  MIN: 325.0 1.0 
AVG: 326.9166666666667 1.0  MAX: 330.8333333333333 1.0  MIN: 324.0833333333333 1.0 
AVG: 322.77777777777777 1.0  MAX: 325.75 1.0  MIN: 318.5 1.0 
AVG: 319.6111111111111 1.0  MAX: 323.3333333333333 1.0  MIN: 317.5833333333333 1.0 
AVG: 318.0555555555556 1.0  MAX: 323.0 1.0  MIN: 313.6666666666667 1.0 
AVG: 317.3055555555556 1.0  MAX: 322.1666666666667 1.0  MIN: 313.5833333333333 1.0 
AVG: 315.4444444444444 1.0  MAX: 318.8333333333333 1.0  MIN: 311.75 1.0 
AVG: 312.77777777777777 1.0  MAX: 314.8333333333333 1.0  MIN: 309.1666666666667 1.0 
AVG: 312.02777777777777 1.0  MAX: 314.3333333333333 1.0  MIN: 309.1666666666667 1.0 
AVG: 310.6944444444444 1.0  MAX: 312.5833333333333 1.0  MIN: 306.9166666666667 1.0 
AVG: 309.6111111111111 1.0  MAX: 311.0833333333333 1.0  MIN: 306.9166666666667 1.0 
AVG: 308.0 1.0  MAX: 310.0 1.0  MIN: 304.6666666666667 1.0 
AVG: 307.94444444444446 1.0  MAX: 310.0 1.0  MIN: 304.6666666666667 1.0 
AVG: 305.5555555555556 1.0  MAX: 310.0 1.0  MIN: 302.0 1.0 
AVG: 303.6666666666667 1.0  MAX: 310.0 1.0  MIN: 300.1666666666667 1.0 
AVG: 301.47222222222223 1.0  MAX: 308.4166666666667 1.0  MIN: 295.1666666666667 1.0 
AVG: 300.1944444444444 1.0  MAX: 304.5833333333333 1.0  MIN: 295.1666666666667 1.0 
AVG: 299.77777777777777 1.0  MAX: 303.3333333333333 1.0  MIN: 295.1666666666667 1.0 
AVG: 298.88888888888886 1.0  MAX: 302.3333333333333 1.0  MIN: 295.0 1.0 
AVG: 298.77777777777777 1.0  MAX: 302.0 1.0  MIN: 295.0 1.0 
AVG: 297.8333333333333 1.0  MAX: 302.0 1.0  MIN: 294.0833333333333 1.0 
AVG: 297.4166666666667 1.0  MAX: 301.75 1.0  MIN: 294.0833333333333 1.0 
AVG: 297.4166666666667 1.0  MAX: 301.75 1.0  MIN: 294.0833333333333 1.0 
AVG: 297.1666666666667 1.0  MAX: 301.75 1.0  MIN: 293.75 1.0 
AVG: 296.72222222222223 1.0  MAX: 301.75 1.0  MIN: 292.4166666666667 1.0 
AVG: 295.30555555555554 1.0  MAX: 301.75 1.0  MIN: 290.0833333333333 1.0 
AVG: 295.0555555555556 1.0  MAX: 301.75 1.0  MIN: 290.0 1.0 
AVG: 294.8888888888889 1.0  MAX: 301.25 1.0  MIN: 290.0 1.0 
AVG: 292.75 1.0  MAX: 295.25 1.0  MIN: 290.0 1.0 
AVG: 292.75 1.0  MAX: 295.25 1.0  MIN: 290.0 1.0 
AVG: 292.1944444444444 1.0  MAX: 294.8333333333333 1.0  MIN: 288.75 1.0 
AVG: 292.1944444444444 1.0  MAX: 294.8333333333333 1.0  MIN: 288.75 1.0 
AVG: 292.1944444444444 1.0  MAX: 294.8333333333333 1.0  MIN: 288.75 1.0 
AVG: 291.9444444444444 1.0  MAX: 294.8333333333333 1.0  MIN: 288.75 1.0 
AVG: 291.5555555555556 1.0  MAX: 293.6666666666667 1.0  MIN: 288.75 1.0 
AVG: 291.4166666666667 1.0  MAX: 293.6666666666667 1.0  MIN: 288.75 1.0 
AVG: 291.4166666666667 1.0  MAX: 293.6666666666667 1.0  MIN: 288.75 1.0 
AVG: 290.8333333333333 1.0  MAX: 292.1666666666667 1.0  MIN: 288.75 1.0 
AVG: 290.8333333333333 1.0  MAX: 292.1666666666667 1.0  MIN: 288.75 1.0 
