AVG: 3911.193333333333 1.0  MAX: 3936.82 1.0  MIN: 3862.38 1.0 
AVG: 3911.193333333333 1.0  MAX: 3936.82 1.0  MIN: 3862.38 1.0 
AVG: 3906.6666666666665 1.0  MAX: 3932.28 1.0  MIN: 3856.5 1.0 
AVG: 3905.64 1.0  MAX: 3931.22 1.0  MIN: 3856.5 1.0 
AVG: 3901.02 1.0  MAX: 3925.02 1.0  MIN: 3856.5 1.0 
AVG: 3900.5533333333333 1.0  MAX: 3923.62 1.0  MIN: 3856.5 1.0 
AVG: 3896.1733333333336 1.0  MAX: 3919.38 1.0  MIN: 3854.52 1.0 
AVG: 3894.6733333333336 1.0  MAX: 3919.38 1.0  MIN: 3854.52 1.0 
AVG: 3891.8799999999997 1.0  MAX: 3919.38 1.0  MIN: 3851.86 1.0 
AVG: 3891.4266666666663 1.0  MAX: 3919.38 1.0  MIN: 3851.86 1.0 
AVG: 3889.0266666666666 1.0  MAX: 3914.88 1.0  MIN: 3849.16 1.0 
AVG: 3887.78 1.0  MAX: 3914.14 1.0  MIN: 3849.16 1.0 
AVG: 3887.74 1.0  MAX: 3914.14 1.0  MIN: 3849.04 1.0 
AVG: 3886.873333333333 1.0  MAX: 3911.54 1.0  MIN: 3849.04 1.0 
AVG: 3883.6133333333332 1.0  MAX: 3901.86 1.0  MIN: 3849.04 1.0 
AVG: 3881.86 1.0  MAX: 3901.86 1.0  MIN: 3844.76 1.0 
AVG: 3881.6133333333332 1.0  MAX: 3901.86 1.0  MIN: 3844.02 1.0 
AVG: 3876.8333333333335 1.0  MAX: 3898.58 1.0  MIN: 3844.02 1.0 
AVG: 3869.28 1.0  MAX: 3898.58 1.0  MIN: 3844.02 1.0 
AVG: 3868.273333333333 1.0  MAX: 3895.56 1.0  MIN: 3844.02 1.0 
AVG: 3867.593333333333 1.0  MAX: 3895.56 1.0  MIN: 3844.02 1.0 
AVG: 3867.593333333333 1.0  MAX: 3895.56 1.0  MIN: 3844.02 1.0 
AVG: 3866.806666666667 1.0  MAX: 3895.56 1.0  MIN: 3844.02 1.0 
AVG: 3866.806666666667 1.0  MAX: 3895.56 1.0  MIN: 3844.02 1.0 
AVG: 3865.72 1.0  MAX: 3893.64 1.0  MIN: 3842.68 1.0 
AVG: 3864.6133333333332 1.0  MAX: 3893.64 1.0  MIN: 3839.36 1.0 
AVG: 3860.8333333333335 1.0  MAX: 3882.3 1.0  MIN: 3839.36 1.0 
AVG: 3857.713333333333 1.0  MAX: 3882.3 1.0  MIN: 3830.0 1.0 
AVG: 3857.713333333333 1.0  MAX: 3882.3 1.0  MIN: 3830.0 1.0 
AVG: 3857.713333333333 1.0  MAX: 3882.3 1.0  MIN: 3830.0 1.0 
AVG: 3857.56 1.0  MAX: 3881.84 1.0  MIN: 3830.0 1.0 
