AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 267.6666666666667 1.0  MAX: 284.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
AVG: 266.3333333333333 1.0  MAX: 280.0 1.0  MIN: 256.0 1.0 
