AVG: 326.8933333333333 3.0  MAX: 337.4 5.0  MIN: 307.84 1.0 
AVG: 296.37333333333333 1.6666666666666667  MAX: 302.36 3.0  MIN: 287.36 1.0 
AVG: 283.12666666666667 1.0  MAX: 286.38 1.0  MIN: 281.4 1.0 
AVG: 273.78 1.0  MAX: 275.9 1.0  MIN: 272.66 1.0 
AVG: 268.68666666666667 1.0  MAX: 272.46 1.0  MIN: 266.7 1.0 
AVG: 264.37333333333333 1.0  MAX: 267.7 1.0  MIN: 262.52 1.0 
AVG: 261.87999999999994 1.0  MAX: 265.54 1.0  MIN: 259.08 1.0 
AVG: 259.87333333333333 1.0  MAX: 264.28 1.0  MIN: 257.4 1.0 
AVG: 257.73333333333335 1.0  MAX: 261.7 1.0  MIN: 255.44 1.0 
AVG: 255.71333333333334 1.0  MAX: 258.72 1.0  MIN: 253.42 1.0 
AVG: 254.32000000000002 1.0  MAX: 257.2 1.0  MIN: 251.94 1.0 
AVG: 253.17333333333332 1.0  MAX: 255.98 1.0  MIN: 250.98 1.0 
AVG: 251.88666666666666 1.0  MAX: 254.34 1.0  MIN: 249.62 1.0 
AVG: 250.21333333333334 1.0  MAX: 252.44 1.0  MIN: 248.0 1.0 
AVG: 249.42 1.0  MAX: 251.72 1.0  MIN: 247.18 1.0 
AVG: 248.69333333333336 1.0  MAX: 251.16 1.0  MIN: 246.02 1.0 
AVG: 248.24666666666667 1.0  MAX: 250.36 1.0  MIN: 245.8 1.0 
AVG: 247.67999999999998 1.0  MAX: 250.1 1.0  MIN: 245.32 1.0 
AVG: 247.29999999999998 1.0  MAX: 249.98 1.0  MIN: 244.52 1.0 
AVG: 247.0533333333333 1.0  MAX: 249.66 1.0  MIN: 244.24 1.0 
AVG: 246.22 1.0  MAX: 248.92 1.0  MIN: 243.34 1.0 
AVG: 245.73333333333335 1.0  MAX: 247.94 1.0  MIN: 242.94 1.0 
AVG: 245.14666666666668 1.0  MAX: 247.8 1.0  MIN: 241.88 1.0 
AVG: 244.60666666666665 1.0  MAX: 247.1 1.0  MIN: 241.16 1.0 
AVG: 244.47333333333333 1.0  MAX: 246.82 1.0  MIN: 241.16 1.0 
AVG: 243.74 1.0  MAX: 246.38 1.0  MIN: 240.22 1.0 
AVG: 242.61333333333334 1.0  MAX: 244.3 1.0  MIN: 239.52 1.0 
AVG: 242.16 1.0  MAX: 243.88 1.0  MIN: 238.86 1.0 
AVG: 242.00666666666666 1.0  MAX: 243.64 1.0  MIN: 238.86 1.0 
AVG: 241.52666666666667 1.0  MAX: 243.12 1.0  MIN: 238.86 1.0 
AVG: 241.28666666666666 1.0  MAX: 242.6 1.0  MIN: 238.78 1.0 
