AVG: 1382.4933333333336 1.0  MAX: 1443.24 1.0  MIN: 1328.68 1.0 
AVG: 1217.3133333333333 1.0  MAX: 1245.06 1.0  MIN: 1165.3 1.0 
AVG: 1149.8 1.0  MAX: 1184.72 1.0  MIN: 1101.58 1.0 
AVG: 1107.1933333333334 1.0  MAX: 1137.6 1.0  MIN: 1076.08 1.0 
AVG: 1079.1333333333332 1.0  MAX: 1109.9 1.0  MIN: 1055.7 1.0 
AVG: 1056.4799999999998 1.0  MAX: 1078.56 1.0  MIN: 1041.56 1.0 
AVG: 1039.1933333333334 1.0  MAX: 1065.42 1.0  MIN: 1025.42 1.0 
AVG: 1026.0466666666666 1.0  MAX: 1048.02 1.0  MIN: 1012.0 1.0 
AVG: 1019.1866666666666 1.0  MAX: 1039.5 1.0  MIN: 1005.62 1.0 
AVG: 1012.3266666666667 1.0  MAX: 1028.38 1.0  MIN: 1001.46 1.0 
AVG: 1007.8733333333334 1.0  MAX: 1018.72 1.0  MIN: 999.08 1.0 
AVG: 1003.9266666666666 1.0  MAX: 1012.48 1.0  MIN: 996.56 1.0 
AVG: 998.2866666666667 1.0  MAX: 1008.7 1.0  MIN: 989.14 1.0 
AVG: 995.02 1.0  MAX: 1007.12 1.0  MIN: 985.52 1.0 
AVG: 987.7733333333332 1.0  MAX: 997.68 1.0  MIN: 980.88 1.0 
AVG: 982.9533333333334 1.0  MAX: 997.6 1.0  MIN: 973.92 1.0 
AVG: 980.0200000000001 1.0  MAX: 996.16 1.0  MIN: 967.7 1.0 
AVG: 974.8533333333334 1.0  MAX: 990.54 1.0  MIN: 961.84 1.0 
AVG: 970.3733333333333 1.0  MAX: 982.42 1.0  MIN: 959.66 1.0 
AVG: 965.2066666666666 1.0  MAX: 973.62 1.0  MIN: 953.12 1.0 
AVG: 961.6 1.0  MAX: 967.32 1.0  MIN: 950.9 1.0 
AVG: 958.8866666666667 1.0  MAX: 964.64 1.0  MIN: 947.72 1.0 
AVG: 955.6999999999999 1.0  MAX: 961.08 1.0  MIN: 946.66 1.0 
AVG: 954.3133333333334 1.0  MAX: 960.22 1.0  MIN: 944.98 1.0 
AVG: 951.4733333333334 1.0  MAX: 956.82 1.0  MIN: 942.14 1.0 
AVG: 949.86 1.0  MAX: 954.7 1.0  MIN: 940.82 1.0 
AVG: 947.5799999999999 1.0  MAX: 953.16 1.0  MIN: 937.54 1.0 
AVG: 945.82 1.0  MAX: 951.76 1.0  MIN: 934.1 1.0 
AVG: 943.4200000000001 1.0  MAX: 951.0 1.0  MIN: 933.88 1.0 
AVG: 941.2866666666665 1.0  MAX: 950.22 1.0  MIN: 932.3 1.0 
AVG: 940.1866666666666 1.0  MAX: 950.16 1.0  MIN: 930.58 1.0 
AVG: 937.7733333333334 1.0  MAX: 948.36 1.0  MIN: 927.62 1.0 
AVG: 935.1666666666666 1.0  MAX: 943.2 1.0  MIN: 925.98 1.0 
AVG: 933.66 1.0  MAX: 940.32 1.0  MIN: 925.98 1.0 
AVG: 932.4266666666666 1.0  MAX: 937.22 1.0  MIN: 925.74 1.0 
AVG: 931.0133333333333 1.0  MAX: 934.6 1.0  MIN: 924.82 1.0 
AVG: 930.5533333333333 1.0  MAX: 934.6 1.0  MIN: 924.82 1.0 
AVG: 928.5866666666667 1.0  MAX: 933.1 1.0  MIN: 924.82 1.0 
AVG: 928.1733333333333 1.0  MAX: 932.94 1.0  MIN: 924.02 1.0 
AVG: 927.2400000000001 1.0  MAX: 932.94 1.0  MIN: 923.88 1.0 
AVG: 926.62 1.0  MAX: 931.5 1.0  MIN: 923.46 1.0 
AVG: 925.9866666666667 1.0  MAX: 930.5 1.0  MIN: 922.7 1.0 
AVG: 925.3133333333334 1.0  MAX: 929.44 1.0  MIN: 922.7 1.0 
AVG: 924.5733333333333 1.0  MAX: 928.42 1.0  MIN: 921.5 1.0 
AVG: 923.52 1.0  MAX: 926.66 1.0  MIN: 920.12 1.0 
AVG: 922.8000000000001 1.0  MAX: 926.62 1.0  MIN: 918.08 1.0 
AVG: 921.6333333333333 1.0  MAX: 925.4 1.0  MIN: 916.52 1.0 
AVG: 920.9266666666667 1.0  MAX: 925.1 1.0  MIN: 914.7 1.0 
AVG: 919.5866666666666 1.0  MAX: 924.16 1.0  MIN: 913.74 1.0 
AVG: 917.1466666666666 1.0  MAX: 921.46 1.0  MIN: 912.04 1.0 
AVG: 916.7266666666666 1.0  MAX: 921.04 1.0  MIN: 911.4 1.0 
AVG: 916.5333333333334 1.0  MAX: 920.76 1.0  MIN: 911.1 1.0 
AVG: 916.5333333333334 1.0  MAX: 920.76 1.0  MIN: 911.1 1.0 
AVG: 916.4 1.0  MAX: 920.76 1.0  MIN: 910.94 1.0 
AVG: 916.1333333333333 1.0  MAX: 920.76 1.0  MIN: 910.94 1.0 
AVG: 914.8733333333333 1.0  MAX: 919.28 1.0  MIN: 909.24 1.0 
AVG: 913.7466666666666 1.0  MAX: 917.42 1.0  MIN: 908.92 1.0 
AVG: 913.0866666666666 1.0  MAX: 917.42 1.0  MIN: 908.78 1.0 
AVG: 912.2533333333332 1.0  MAX: 915.66 1.0  MIN: 908.78 1.0 
AVG: 911.1133333333333 1.0  MAX: 913.12 1.0  MIN: 908.22 1.0 
AVG: 910.6999999999999 1.0  MAX: 913.12 1.0  MIN: 908.22 1.0 
AVG: 909.7666666666668 1.0  MAX: 910.76 1.0  MIN: 908.22 1.0 
AVG: 909.0600000000001 1.0  MAX: 910.3 1.0  MIN: 907.36 1.0 
AVG: 908.8933333333334 1.0  MAX: 910.3 1.0  MIN: 907.36 1.0 
AVG: 907.8666666666668 1.0  MAX: 909.02 1.0  MIN: 907.22 1.0 
AVG: 907.5533333333333 1.0  MAX: 908.08 1.0  MIN: 907.22 1.0 
AVG: 907.5533333333333 1.0  MAX: 908.08 1.0  MIN: 907.22 1.0 
AVG: 907.3466666666667 1.0  MAX: 907.9 1.0  MIN: 906.78 1.0 
